2018/04/04 07:29:21 [error] 6#6: *1 open() "/var/nginx/www/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2018/04/04 07:37:51 [error] 5#5: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET /app/ HTTP/1.1", upstream: "http://172.18.0.3:8080/app/", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2018/04/04 07:58:44 [error] 5#5: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.18.0.3:8080/", host: "127.0.0.1"
2018/04/04 07:58:48 [error] 5#5: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.18.0.3:8080/", host: "127.0.0.1"
2018/04/04 07:58:54 [error] 5#5: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.18.0.3:8080/", host: "127.0.0.1"
2018/04/04 08:02:48 [error] 5#5: *9 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.18.0.3:8080/", host: "127.0.0.1"
2018/04/04 08:04:24 [error] 5#5: *11 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "127.0.0.1"
2018/04/04 08:06:04 [error] 5#5: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "127.0.0.1"
2018/04/04 08:06:10 [error] 5#5: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.18.0.3:8080/", host: "127.0.0.1"
2018/04/04 08:06:32 [error] 5#5: *1 upstream prematurely closed connection while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "127.0.0.1"
2018/04/04 08:08:02 [error] 5#5: *7 upstream prematurely closed connection while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "0.0.0.0"
2018/04/04 08:10:20 [error] 5#5: *16 upstream prematurely closed connection while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "0.0.0.0"
2018/04/04 08:13:17 [error] 5#5: *21 upstream prematurely closed connection while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "127.0.0.1"
2018/04/04 08:16:26 [error] 5#5: *1 upstream prematurely closed connection while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "127.0.0.1"
2018/04/04 08:23:06 [error] 5#5: *1 upstream prematurely closed connection while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /mongo HTTP/1.1", upstream: "http://172.18.0.3:8080/mongo", host: "127.0.0.1"
